Code,Name,ipo_date,,
000713.SZ,丰乐种业,1997/4/22,CSRC农、林、牧、渔服务业,Wind食品、饮料与烟草
000715.SZ,中兴商业,1997/5/8,CSRC零售业,Wind零售业
000716.SZ,黑芝麻,1997/4/18,CSRC食品制造业,Wind食品、饮料与烟草
000717.SZ,韶钢松山,1997/5/8,CSRC黑色金属冶炼及压延加工,Wind材料Ⅱ
000718.SZ,苏宁环球,1997/4/8,CSRC房地产业,Wind房地产Ⅱ
000719.SZ,中原传媒,1997/3/31,CSRC新闻和出版业,Wind媒体Ⅱ
000720.SZ,新能泰山,1997/5/9,CSRC电力、热力生产和供应业,Wind公用事业Ⅱ
000721.SZ,西安饮食,1997/4/30,CSRC餐饮业,Wind消费者服务Ⅱ
000722.SZ,湖南发展,1997/5/22,CSRC电力、热力生产和供应业,Wind公用事业Ⅱ
000723.SZ,美锦能源,1997/5/15,CSRC石油加工、炼焦及核燃料加工业,Wind能源Ⅱ
000725.SZ,京东方A,2001/1/12,CSRC计算机、通信和其他电子设备制造业,Wind技术硬件与设备
000726.SZ,鲁泰A,2000/12/25,CSRC纺织业,Wind耐用消费品与服装
000727.SZ,华东科技,1997/5/20,CSRC计算机、通信和其他电子设备制造业,Wind技术硬件与设备
000728.SZ,国元证券,1997/6/16,CSRC资本市场服务,Wind多元金融
000729.SZ,燕京啤酒,1997/7/16,CSRC酒、饮料和精制茶制造业,Wind食品、饮料与烟草
000731.SZ,四川美丰,1997/6/17,CSRC化学原料及化学制品制造业,Wind材料Ⅱ
000732.SZ,泰禾集团,1997/7/4,CSRC房地产业,Wind房地产Ⅱ
000733.SZ,振华科技,1997/7/3,CSRC计算机、通信和其他电子设备制造业,Wind技术硬件与设备
000735.SZ,罗牛山,1997/6/11,CSRC畜牧业,Wind食品、饮料与烟草
000736.SZ,中交地产,1997/4/25,CSRC房地产业,Wind房地产Ⅱ
000737.SZ,ST南风,1997/4/28,CSRC化学原料及化学制品制造业,Wind材料Ⅱ
000738.SZ,航发控制,1997/6/26,CSRC铁路、船舶、航空航天和其他运输设备制造业,Wind资本货物
000739.SZ,普洛药业,1997/5/9,CSRC医药制造业,Wind制药、生物科技与生命科学
000750.SZ,国海证券,1997/7/9,CSRC资本市场服务,Wind多元金融
